id,peer,task,date
1,frankray,C6_s21_matrix,2022.11.01
2,frankray,C7_SmartCalc_v1.0,2022.11.20
3,frankray,C8_3DViewer_v1.0,2022.12.05
4,kennethgraham,C6_s21_matrix,2022.11.05
5,kennethgraham,C7_SmartCalc_v1.0,2022.11.18
6,kennethgraham,C8_3DViewer_v1.0,2022.12.05
7,laurenwood,C6_s21_matrix,2022.12.05
8,laurenwood,C7_SmartCalc_v1.0,2022.12.27
9,laurenwood,C8_3DViewer_v1.0,2023.01.01
10,laurenwood,C8_3DViewer_v1.0,2023.01.01
11,nancywilson,C6_s21_matrix,2022.11.20
12,nancywilson,C7_SmartCalc_v1.0,2022.12.01
13,nancywilson,C8_3DViewer_v1.0,2022.12.18
14,pamelawalker,C6_s21_matrix,2022.11.02
15,pamelawalker,C7_SmartCalc_v1.0,2022.11.25
16,pamelawalker,C8_3DViewer_v1.0,2022.12.10
17,troybrown,C6_s21_matrix,2022.10.30
18,troybrown,C7_SmartCalc_v1.0,2022.11.11
19,troybrown,C8_3DViewer_v1.0,2022.11.30
20,kennethgraham,CPP1_s21_matrix+,2023.01.01
21,kennethgraham,CPP1_s21_matrix+,2023.01.04
22,nancywilson,CPP1_s21_matrix+,2023.01.02
23,troybrown,CPP1_s21_matrix+,2023.01.10
24,kennethgraham,CPP2_s21_containers,2023.01.20
25,kennethgraham,CPP3_SmartCalc_v2.0,2023.01.30
26,frankray,CPP1_s21_matrix+,2023.01.31
27,pamelawalker,CPP1_s21_matrix+,2023.01.31
28,pamelawalker,CPP2_s21_containers,2023.02.11
29,kennethgraham,CPP2_s21_containers,2023.02.23
30,pamelawalker,CPP3_SmartCalc_v2.0,2023.02.28
31,frankray,CPP3_SmartCalc_v2.0,2023.02.28
32,laurenwood,CPP1_s21_matrix+,2023.02.28
33,laurenwood,CPP1_s21_matrix+,2023.02.28
34,nancywilson,CPP2_s21_containers,2023.02.28
