id,peer,Date,Time,State
1,kennethgraham,2022.12.22,11:01:13,1
2,nancywilson,2022.12.22,15:05:33,1
3,nancywilson,2022.12.22,9:55:44,2
4,kennethgraham,2022.12.22,21:40:14,2
5,kennethgraham,2022.12.23,7:00:55,1
6,kennethgraham,2022.12.23,9:55:44,2
7,laurenwood,2022.12.23,10:14:00,1
8,laurenwood,2022.12.23,14:02:00,2
9,laurenwood,2022.12.23,14:19:00,1
10,laurenwood,2022.12.23,19:43:00,2
11,nancywilson,2022.12.23,22:04:00,1
12,lloydmartin,2022.12.24,9:43:00,1
13,nancywilson,2022.12.23,13:04:00,2
14,lloydmartin,2022.12.24,19:43:00,2
15,kennethgraham,2022.12.25,10:54:23,1
16,lloydmartin,2022.12.25,10:59:42,1
17,nancywilson,2022.12.25,12:13:14,1
18,kennethgraham,2022.12.25,13:22:49,2
19,kennethgraham,2022.12.25,13:50:32,1
20,laurenwood,2022.12.25,16:44:33,1
21,lloydmartin,2022.12.25,18:31:00,2
22,nancywilson,2022.12.25,18:47:13,2
23,kennethgraham,2022.12.25,19:55:33,2
24,kennethgraham,2022.12.25,21:01:00,2
25,laurenwood,2022.12.25,23:49:14,2
